13-Jun-19 07:13:37 - Start script
13-Jun-19 07:14:30 - Train test split
13-Jun-19 07:14:34 - Initial model trained
13-Jun-19 07:14:34 - Size of train set: 441
13-Jun-19 07:14:34 - Number of 0: 262
13-Jun-19 07:14:34 - Number of 1: 179
13-Jun-19 07:14:34 - Initial score: 0.7724867724867724
13-Jun-19 07:14:34 - Initial conf_matrix: [[100  13]
 [ 30  46]]
13-Jun-19 07:17:53 - Pseudolabel 1 finished
13-Jun-19 07:17:53 - Not improved: 0.7354497354497355
13-Jun-19 07:21:13 - Pseudolabel 2 finished
13-Jun-19 07:21:13 - Not improved: 0.7619047619047619
13-Jun-19 07:24:43 - Pseudolabel 3 finished
13-Jun-19 07:24:43 - Not improved: 0.7566137566137566
13-Jun-19 07:28:07 - Pseudolabel 4 finished
13-Jun-19 07:28:07 - Not improved: 0.7566137566137566
13-Jun-19 07:31:29 - Pseudolabel 5 finished
13-Jun-19 07:31:29 - Not improved: 0.746031746031746
13-Jun-19 07:34:52 - Pseudolabel 6 finished
13-Jun-19 07:34:52 - Not improved: 0.7566137566137566
13-Jun-19 07:38:12 - Pseudolabel 7 finished
13-Jun-19 07:38:12 - Not improved: 0.7566137566137566
13-Jun-19 07:41:36 - Pseudolabel 8 finished
13-Jun-19 07:41:36 - Not improved: 0.7407407407407407
13-Jun-19 07:45:01 - Pseudolabel 9 finished
13-Jun-19 07:45:01 - Not improved: 0.7619047619047619
13-Jun-19 07:48:18 - Pseudolabel 10 finished
13-Jun-19 07:48:18 - Not improved: 0.7619047619047619
13-Jun-19 07:51:41 - Pseudolabel 11 finished
13-Jun-19 07:51:41 - Not improved: 0.7407407407407407
13-Jun-19 07:55:02 - Pseudolabel 12 finished
13-Jun-19 07:55:02 - Not improved: 0.7407407407407407
13-Jun-19 07:58:29 - Pseudolabel 13 finished
13-Jun-19 07:58:29 - Not improved: 0.7354497354497355
13-Jun-19 08:01:46 - Pseudolabel 14 finished
13-Jun-19 08:01:46 - Not improved: 0.746031746031746
13-Jun-19 08:05:07 - Pseudolabel 15 finished
13-Jun-19 08:05:07 - Not improved: 0.7513227513227513
13-Jun-19 08:08:27 - Pseudolabel 16 finished
13-Jun-19 08:08:27 - Not improved: 0.7619047619047619
13-Jun-19 08:11:49 - Pseudolabel 17 finished
13-Jun-19 08:11:49 - Not improved: 0.7354497354497355
13-Jun-19 08:15:15 - Pseudolabel 18 finished
13-Jun-19 08:15:15 - Not improved: 0.7566137566137566
13-Jun-19 08:18:37 - Pseudolabel 19 finished
13-Jun-19 08:18:37 - Not improved: 0.746031746031746
13-Jun-19 08:21:58 - Pseudolabel 20 finished
13-Jun-19 08:21:58 - Not improved: 0.7407407407407407
13-Jun-19 08:25:20 - Pseudolabel 21 finished
13-Jun-19 08:25:20 - Not improved: 0.7301587301587301
13-Jun-19 08:28:33 - Pseudolabel 22 finished
13-Jun-19 08:28:33 - Not improved: 0.7407407407407407
13-Jun-19 08:31:49 - Pseudolabel 23 finished
13-Jun-19 08:31:49 - Not improved: 0.7354497354497355
13-Jun-19 08:35:12 - Pseudolabel 24 finished
13-Jun-19 08:35:12 - Not improved: 0.7566137566137566
13-Jun-19 08:38:31 - Pseudolabel 25 finished
13-Jun-19 08:38:31 - Not improved: 0.7354497354497355
13-Jun-19 09:39:24 - Start script
13-Jun-19 09:40:17 - Train test split
13-Jun-19 09:40:20 - Initial model trained
13-Jun-19 09:40:20 - Size of train set: 441
13-Jun-19 09:40:20 - Number of 0: 41
13-Jun-19 09:40:20 - Number of 1: 400
13-Jun-19 09:40:20 - Initial score: 0.9206349206349206
13-Jun-19 09:40:20 - Initial conf_matrix: [[  5  12]
 [  3 169]]
13-Jun-19 09:43:42 - Pseudolabel 1 finished
13-Jun-19 09:43:42 - Not improved: 0.9206349206349206
13-Jun-19 09:46:59 - Pseudolabel 2 finished
13-Jun-19 09:46:59 - Not improved: 0.9206349206349206
13-Jun-19 09:50:34 - Pseudolabel 3 finished
13-Jun-19 09:50:34 - Not improved: 0.9206349206349206
13-Jun-19 09:54:02 - Pseudolabel 4 finished
13-Jun-19 09:54:02 - Not improved: 0.9206349206349206
13-Jun-19 09:57:44 - Pseudolabel 5 finished
13-Jun-19 09:57:44 - Not improved: 0.9206349206349206
13-Jun-19 10:01:05 - Pseudolabel 6 finished
13-Jun-19 10:01:05 - Not improved: 0.9206349206349206
13-Jun-19 10:04:33 - Pseudolabel 7 finished
13-Jun-19 10:04:33 - Not improved: 0.9206349206349206
13-Jun-19 10:08:00 - Pseudolabel 8 finished
13-Jun-19 10:08:00 - Not improved: 0.9206349206349206
13-Jun-19 10:11:28 - Pseudolabel 9 finished
13-Jun-19 10:11:28 - Not improved: 0.9206349206349206
13-Jun-19 10:14:53 - Pseudolabel 10 finished
13-Jun-19 10:14:53 - Not improved: 0.9206349206349206
13-Jun-19 10:18:20 - Pseudolabel 11 finished
13-Jun-19 10:18:20 - Not improved: 0.9206349206349206
13-Jun-19 10:21:46 - Pseudolabel 12 finished
13-Jun-19 10:21:46 - Not improved: 0.9206349206349206
13-Jun-19 10:25:24 - Pseudolabel 13 finished
13-Jun-19 10:25:24 - Not improved: 0.9206349206349206
13-Jun-19 10:29:02 - Pseudolabel 14 finished
13-Jun-19 10:29:02 - Not improved: 0.9206349206349206
13-Jun-19 10:32:28 - Pseudolabel 15 finished
13-Jun-19 10:32:28 - Not improved: 0.9206349206349206
13-Jun-19 10:35:52 - Pseudolabel 16 finished
13-Jun-19 10:35:52 - Not improved: 0.9206349206349206
13-Jun-19 10:39:32 - Pseudolabel 17 finished
13-Jun-19 10:39:32 - Not improved: 0.9206349206349206
13-Jun-19 10:42:57 - Pseudolabel 18 finished
13-Jun-19 10:42:57 - Not improved: 0.9206349206349206
13-Jun-19 10:46:24 - Pseudolabel 19 finished
13-Jun-19 10:46:24 - Not improved: 0.9206349206349206
13-Jun-19 10:50:06 - Pseudolabel 20 finished
13-Jun-19 10:50:06 - Not improved: 0.9206349206349206
13-Jun-19 10:53:33 - Pseudolabel 21 finished
13-Jun-19 10:53:33 - Not improved: 0.9206349206349206
13-Jun-19 10:56:58 - Pseudolabel 22 finished
13-Jun-19 10:56:58 - Not improved: 0.9206349206349206
13-Jun-19 11:00:24 - Pseudolabel 23 finished
13-Jun-19 11:00:24 - Not improved: 0.9206349206349206
13-Jun-19 11:04:02 - Pseudolabel 24 finished
13-Jun-19 11:04:02 - Not improved: 0.9206349206349206
13-Jun-19 11:07:36 - Pseudolabel 25 finished
13-Jun-19 11:07:36 - Not improved: 0.9206349206349206
13-Jun-19 11:10:59 - Pseudolabel 26 finished
13-Jun-19 11:10:59 - Not improved: 0.9206349206349206
13-Jun-19 11:14:24 - Pseudolabel 27 finished
13-Jun-19 11:14:24 - Not improved: 0.9206349206349206
13-Jun-19 11:18:06 - Pseudolabel 28 finished
13-Jun-19 11:18:06 - Not improved: 0.9206349206349206
13-Jun-19 11:21:44 - Pseudolabel 29 finished
13-Jun-19 11:21:44 - Not improved: 0.9206349206349206
13-Jun-19 11:25:32 - Pseudolabel 30 finished
13-Jun-19 11:25:32 - Not improved: 0.9206349206349206
13-Jun-19 11:29:14 - Pseudolabel 31 finished
13-Jun-19 11:29:14 - Not improved: 0.9206349206349206
13-Jun-19 11:32:52 - Pseudolabel 32 finished
13-Jun-19 11:32:52 - Not improved: 0.9206349206349206
13-Jun-19 11:36:33 - Pseudolabel 33 finished
13-Jun-19 11:36:33 - Not improved: 0.9206349206349206
13-Jun-19 11:40:13 - Pseudolabel 34 finished
13-Jun-19 11:40:13 - Not improved: 0.9206349206349206
13-Jun-19 11:43:42 - Pseudolabel 35 finished
13-Jun-19 11:43:42 - Not improved: 0.9206349206349206
13-Jun-19 11:47:20 - Pseudolabel 36 finished
13-Jun-19 11:47:20 - Not improved: 0.9206349206349206
13-Jun-19 11:50:56 - Pseudolabel 37 finished
13-Jun-19 11:50:56 - Not improved: 0.9206349206349206
13-Jun-19 11:54:30 - Pseudolabel 38 finished
13-Jun-19 11:54:30 - Not improved: 0.9206349206349206
13-Jun-19 11:57:58 - Pseudolabel 39 finished
13-Jun-19 11:57:58 - Not improved: 0.9206349206349206
13-Jun-19 12:01:39 - Pseudolabel 40 finished
13-Jun-19 12:01:39 - Not improved: 0.9206349206349206
13-Jun-19 12:05:12 - Pseudolabel 41 finished
13-Jun-19 12:05:12 - Not improved: 0.9206349206349206
13-Jun-19 12:08:55 - Pseudolabel 42 finished
13-Jun-19 12:08:55 - Not improved: 0.9206349206349206
13-Jun-19 12:12:37 - Pseudolabel 43 finished
13-Jun-19 12:12:37 - Not improved: 0.9206349206349206
13-Jun-19 12:16:19 - Pseudolabel 44 finished
13-Jun-19 12:16:19 - Not improved: 0.9206349206349206
13-Jun-19 12:19:57 - Pseudolabel 45 finished
13-Jun-19 12:19:57 - Not improved: 0.9206349206349206
13-Jun-19 12:23:35 - Pseudolabel 46 finished
13-Jun-19 12:23:35 - Not improved: 0.9206349206349206
13-Jun-19 12:27:25 - Pseudolabel 47 finished
13-Jun-19 12:27:25 - Not improved: 0.9206349206349206
13-Jun-19 12:31:00 - Pseudolabel 48 finished
13-Jun-19 12:31:00 - Not improved: 0.9206349206349206
13-Jun-19 12:34:36 - Pseudolabel 49 finished
13-Jun-19 12:34:36 - Not improved: 0.9206349206349206
13-Jun-19 12:38:13 - Pseudolabel 50 finished
13-Jun-19 12:38:13 - Not improved: 0.9206349206349206
